Num,Type of Burrito,Restaurant,Address,Near by,Cost ($),Overall Rating (out of 5),Provide Free Chips ?,Recipe,URL,Notes
192,California,Los Cabos,165 S Rancho Santa Fe Rd,San Marcos,5.99,3,Yes,Beef; Cheese; Fries; Sour cream,https://www.yelp.com/biz/los-cabos-san-marcos,Repeatedly get large bites of sour cream
193,Al pastor,Los Cabos,165 S Rancho Santa Fe Rd,San Marcos,5.69,4,Yes,Guac; Pork; Cilantro; Onion,https://www.yelp.com/biz/los-cabos-san-marcos,Really good with lime
194,Tilapia one,Rubios UCSD,9500 Gilman Dr,UTC,7.99,3.2,Yes,Guac; Fish; Rice; Cabbage; Corn,https://www.yelp.com/biz/rubios-la-jolla-4,
195,Surf & Turf,Lucha Libre North Park,3016 University Ave,North Park,8.25,3,Yes,Beef; Pico; Shrimp; Rice; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,
196,Surf & Turf,Lucha Libre North Park,3016 University Ave,North Park,8.25,2,Yes,Beef; Pico; Shrimp; Rice; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,
197,Surf & Turf,Lucha Libre North Park,3016 University Ave,North Park,8.25,2.4,Yes,Beef; Pico; Shrimp; Rice; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,Not as good as the first time
198,Surf & Turf,Lucha Libre North Park,3016 University Ave,North Park,8.25,2.2,Yes,Beef; Pico; Shrimp; Rice; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,
199,Surf & Turf,Lucha Libre North Park,3016 University Ave,North Park,8.25,3.6,Yes,Beef; Pico; Shrimp; Rice; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,
200,Surfin California,Lucha Libre North Park,3016 University Ave,North Park,8.25,3.9,Yes,Beef; Pico; Cheese; Fries; Shrimp; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,thick chips
201,Surfin California,Lucha Libre North Park,3016 University Ave,North Park,8.25,3.5,Yes,Beef; Pico; Cheese; Fries; Shrimp; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,Good guac
202,Surfin California,Lucha Libre North Park,3016 University Ave,North Park,8.25,3,Yes,Beef; Pico; Cheese; Fries; Shrimp; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,"shrimp was questionable; salsa was mediocre to bad; overall ok, better than past burritos at lucha libre"
203,Surfin California,Lucha Libre North Park,3016 University Ave,North Park,8.25,3.5,Yes,Beef; Pico; Cheese; Fries; Shrimp; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,good guac but fries could be better
204,Surfin California,Lucha Libre North Park,3016 University Ave,North Park,8.25,3.5,Yes,Beef; Pico; Cheese; Fries; Shrimp; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,probably positively biased by service
205,Surfin California,Lucha Libre North Park,3016 University Ave,North Park,8.25,4,Yes,Beef; Pico; Cheese; Fries; Shrimp; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,
